"id","lokasi_id","nama","jenis","cepat_kode","proses_berkas_dipusat","mgr_cepat_kode","cepat_kode5","ncsistime","status","cepat_kode5_lama","nama_baru","nama_jabatan","jenis_instansi_id","flag_approval_jpt","tgl_approval_jpt","flag_khusus","jenis_lembaga_id","oid","is_ppk","path_logo","instansi_koor_id","kantor_regional_id","peraturan_id","ekinerja","prov_id","path_excell"
"014C560C79B72247E060640AF1082B75",\N,"Sekretariat Jenderal Dewan Nasional Kawasan Ekonomi Khusus","P","4070","0","4070","15049","2023-07-25 22:15:38","A",\N,"Sekretariat Jenderal Dewan Nasional Kawasan Ekonomi Khusus","Sekretaris Jenderal Dewan Nasional Kawasan Ekonomi Khusus","LNS",\N,\N,\N,"PPK","2.16.360.1.2.1.70.133",\N,\N,\N,"00",\N,"T","6000",\N
"044d32a2f58049f0b84d9afb4c2ab398",\N,"Kementerian Transmigrasi","P","3028","0","3028","12041","2024-11-04 18:39:53","A",\N,"Kementerian Transmigrasi","Menteri Transmigrasi","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.164",\N,"instansi/044d32a2f58049f0b84d9afb4c2ab398/logo/f47ea147-cd47-52b5-a56c-a0e25dfd16d0.png","4891ac9bd44743d0a4585d3598b45b01","00","31fa3845-de09-413d-b8fb-1b264889f6e2","T","6000",\N
"063E7DF648C0B4B9E060640AF10839CE",\N,"Badan Karantina Indonesia","P","4071","0","4071","15050","2023-09-26 20:50:36","A",\N,\N,"Kepala Badan Karantina Indonesia","LPNK",\N,\N,\N,\N,"2.16.360.1.2.1.70.144",\N,\N,\N,"00",\N,"T","6000",\N
"0c1606502b9d4da9a0df26cc1d24900a",\N,"Kementerian Usaha Mikro, Kecil, dan Menengah","P","3030","0","3030","12042","2024-11-04 18:39:53","A",\N,"Kementerian Usaha Mikro, Kecil, dan Menengah","Menteri Usaha Mikro, Kecil, dan Menengah","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.168",\N,\N,"4099cc4f13cb46df9ee512b7938e235b","00","bcb47344-3319-4c70-835a-c2a50a29270b","T","6000",\N
"0C37093AED94370CE050640A1502102F",\N,"Kementerian Koordinator Bidang Kemaritiman dan Investasi","P","1040","0",\N,"11004","2015-01-10 00:58:26","A",\N,"Kementerian Koordinator Bidang Kemaritiman dan Investasi","Menteri Koordinator Bidang Kemaritiman dan Investasi","KO",\N,\N,\N,"PPK","2.16.360.1.2.1.70.120",\N,\N,\N,"00",\N,"T","6000",\N
"0c771fccefd7493aa4f6ef70450f026e",\N,"Kementerian Kehutanan","P","3034","0","3034","12036","2024-11-08 23:38:18","A",\N,"Kementerian Kehutanan","Menteri Kehutanan","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.165",\N,"instansi/0c771fccefd7493aa4f6ef70450f026e/logo/5b10c70f-bb98-54e9-923e-4c9f26f46d51.png","fd0d3fe35d6c417dbf73b28733df3fde","00","235928f5-300b-4107-b807-868f801784f3","T","6000",\N
"0C8286E5D5268A36E050640A150223A8","ff8080814b224047014b250287ff0ec0","Pemerintah Kab. Buton Selatan","D","7414","0",\N,"27413","2015-01-13 20:46:21","A","27413","Pemerintah Kab. Buton Selatan","Bupati Buton Selatan","KAB",\N,\N,\N,\N,"2.16.360.1.2.1.70.10.70.74.15",\N,\N,\N,"04",\N,"T","7400",\N
"0E4FE60BDC1D9C73E050640A0202492C","0E4FE60BDC1C9C73E050640A0202492C","Pemerintah Kab. Buton Tengah","D","7415","0","7415","27415","2015-02-05 17:32:32","A","27415","Pemerintah Kab. Buton Tengah","Bupati Buton Tengah","KAB",\N,\N,\N,\N,"2.16.360.1.2.1.70.10.70.74.14",\N,\N,\N,"04",\N,"T","7400",\N
"1b9717bd344742358408349558447f5e",\N,"Kementerian Koperasi","P","3032","0","3032","12037","2024-11-08 23:38:18","A",\N,"Kementerian Koperasi","Menteri Koperasi","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.167",\N,\N,"4099cc4f13cb46df9ee512b7938e235b","00","d12d1fe9-cb32-452d-b5cb-58e47369e3bc","T","6000",\N
"23B3C7AFE842586CE050640A150208C2",\N,"Badan Ekonomi Kreatif","P","4064","0",\N,"15044","2015-11-04 22:27:24","X",\N,\N,"Kepala Badan Ekonomi Kreatif","LPNK","1","2019-09-16 15:18:27",\N,\N,"2.16.360.1.2.1.70.121",\N,\N,\N,"00",\N,\N,"6000",\N
"290fe639443d4f79a4b615dd332e8100",\N,"Kementerian Ekonomi Kreatif/Badan Ekonomi Kreatif","P","3031","0","3031","12031","2024-11-04 18:39:53","A",\N,"Kementerian Ekonomi Kreatif/Badan Ekonomi Kreatif","Menteri Ekonomi Kreatif/Kepala Badan Ekonomi Kreatif","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.170",\N,\N,"4099cc4f13cb46df9ee512b7938e235b","00","69c153d5-b09a-45cb-a781-17ee45dedddb","T","6000",\N
"30a3f5b5-1ad0-4985-a141-ea68f90fc882",\N,"Badan Penyelenggara Jaminan Produk Halal","P","4073","0",\N,"15052","2024-11-24 01:14:12","A",\N,"Badan Penyelenggara Jaminan Produk Halal","Kepala Badan Penyelenggara Jaminan Produk Halal","LPNK",\N,\N,\N,\N,"2.16.360.1.2.1.70.172",\N,\N,"A5EB03E23BFBF6A0E040640A040252AD","00","558d2fa0-b857-4858-9389-d43ab25b0c13","T","6000",\N
"3f40424b93634708b44bfbbed9380744",\N,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi","P","3025","0","3025","12040","2024-11-04 18:39:53","A",\N,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi","Menteri Pendidikan Tinggi, Sains, dan Teknologi","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.159",\N,"instansi/3f40424b93634708b44bfbbed9380744/logo/840179ec-77cf-5415-82e2-fe40b7d98740.png","A5EB03E23BEAF6A0E040640A040252AD","00","6b07d25f-c06f-4d62-80aa-5c84d96c3b18",\N,"6000",\N
"4099cc4f13cb46df9ee512b7938e235b",\N,"Kementerian Koordinator Bidang Pemberdayaan Masyarakat","P","1070","0","1070","11008","2024-11-04 18:39:53","A",\N,"Kementerian Koordinator Bidang Pemberdayaan Masyarakat","Menteri Koordinator Bidang Pemberdayaan Masyarakat","KO",\N,\N,\N,"PPK","2.16.360.1.2.1.70.153",\N,\N,\N,"00",\N,"T","6000",\N
"40c164aac4df4504b37f3c51b91dbaf8",\N,"Kementerian Kebudayaan","P","3026","0","3026","12035","2024-11-04 18:39:53","A",\N,"Kementerian Kebudayaan","Menteri Kebudayaan","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.160",\N,\N,"A5EB03E23BEAF6A0E040640A040252AD","00","9950bd65-f31f-4fd8-a7bc-b87f645cc842",\N,"6000",\N
"4891ac9bd44743d0a4585d3598b45b01",\N,"Kementerian Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan","P","1060","0","1060","11006","2024-11-04 18:39:53","A",\N,"Kementerian Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan","Menteri Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan","KO",\N,\N,\N,"PPK","2.16.360.1.2.1.70.152",\N,\N,\N,"00",\N,"T","6000",\N
"6291CFA065278E99E050640A290279EA",\N,"Lembaga Perlindungan Saksi dan Korban","P","4065","0","4065","14014","2018-01-12 23:23:01","A","15045","Lembaga Perlindungan Saksi dan Korban","Kepala Lembaga Perlindungan Saksi dan Korban","LNS",\N,\N,\N,"PPK","2.16.360.1.2.1.70.122",\N,\N,\N,"00",\N,"T","6000",\N
"6a52007e-b46c-4a9a-a140-c53119e96aa6",\N,"Badan Penyelenggara Haji","P","4072","0",\N,"15051","2024-11-24 01:14:10","A",\N,"Badan Penyelenggara Haji","Kepala Badan Penyelenggara Haji","LPNK",\N,\N,\N,\N,\N,\N,\N,"A5EB03E23BFBF6A0E040640A040252AD","00","c6dec5a3-df4b-41e8-ab05-79fe7d711cf1",\N,"6000",\N
"748FC9961C1A485EE050640A2A030F86",\N,"Badan Pembinaan Ideologi Pancasila","P","4066","0","4066","15045","2018-08-29 22:32:13","A","15045","Badan Pembinaan Ideologi Pancasila","Kepala Badan Pembinaan Ideologi Pancasila","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.128",\N,\N,\N,"00",\N,"T","6000",\N
"8ae48288503bd9ee0150606afe0c766e",\N,"Komisi Aparatur Sipil Negara","P","4063","0",\N,"15034","2015-10-13 22:57:11","A",\N,\N,"Ketua Komisi Aparatur Sipil Negara","LNS",\N,\N,\N,"NON PPK","2.16.360.1.2.1.70.132",\N,\N,\N,"00",\N,"T","6000",\N
"8ae482893d68b543013d7c73e421677a",\N,"Setjen Komisi Pengawas Persaingan Usaha","P","4061","0",\N,"14010","2013-03-18 21:43:21","A","16006","Setjen Komisi Pengawas Persaingan Usaha","Ketua Komisi Pengawas Persaingan Usaha","LNS",\N,\N,\N,"PPK","2.16.360.1.2.1.70.108",\N,\N,\N,"00","5a8ce650-3778-4eed-a450-24999a39dc51","T","6000",\N
"8ae4828940ecc41d0140f19098654ee4",\N,"Badan Pengawas Pemilihan Umum","P","4062","0",\N,"15023","2013-09-06 18:42:16","A","16007","Badan Pengawas Pemilihan Umum","Ketua Badan Pengawas Pemilihan Umum","LNS",\N,\N,\N,"PPK","2.16.360.1.2.1.70.134",\N,\N,\N,"00",\N,"T","6000",\N
"8ae482894305762301430a5c07e7709c","8ae482894305762301430a5a9c4c709a","Pemerintah Kab. Musi Rawas Utara","D","5612","0",\N,"21613","2013-12-20 00:17:20","A","21613","Pemerintah Kab. Musi Rawas Utara","Bupati Musi Rawas Utara","KAB",\N,\N,\N,\N,"2.16.360.1.2.1.70.10.70.16.13",\N,\N,\N,"07",\N,"T","5600",\N
"8ae4828944dd62730144dd79597f077b","8ae4828944dd62730144dd765c9105c7","Pemerintah Kab. Konawe Kepulauan","D","7413","0",\N,"27412","2014-03-20 17:11:58","A","27412","Pemerintah Kab. Konawe Kepulauan","Bupati Konawe Kepulauan","KAB",\N,\N,\N,\N,"2.16.360.1.2.1.70.10.70.74.12",\N,\N,\N,"04",\N,"T","7400",\N
"8ae482894bca19a4014bd87660831274","8ae482894bca19a4014bd861a2497f97","Pemerintah Kab. Muna Barat","D","7416","0",\N,"27416","2015-03-02 17:10:10","A",\N,"Pemerintah Kab. Muna Barat","Bupati Muna Barat","KAB",\N,\N,\N,\N,"2.16.360.1.2.1.70.10.70.74.13",\N,\N,\N,"04",\N,"T","7400",\N
"a51da632e235405da40cec0dbd61b75b",\N,"Kementerian Pendidikan Dasar dan Menengah","P","3036","0","3036","12039","2024-11-08 23:38:18","A",\N,"Kementerian Pendidikan Dasar dan Menengah","Menteri Pendidikan Dasar dan Menengah","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.158",\N,\N,"A5EB03E23BEAF6A0E040640A040252AD","00","a5346118-5f65-4691-b3b5-72e3d8cae287",\N,"6000",\N
"A5EB03E23AF7F6A0E040640A040252AD","A5EB03E22075F6A0E040640A040252AD","Pemerintah Kab. Pesawaran","D","5909","0","5909","21809","2011-06-19 10:40:46","A","21809","Pemerintah Kab. Pesawaran","Bupati Pesawaran","KAB",\N,\N,\N,\N,"2.16.360.1.2.1.70.10.70.18.09",\N,\N,\N,"05",\N,"T","5900",\N
"A5EB03E23AF9F6A0E040640A040252AD",\N,"Kementerian Kesehatan","P","3011","0","3011","12017","2011-06-19 10:40:46","A","13015","Kementerian Kesehatan","Menteri Kesehatan","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.24",\N,"instansi/A5EB03E23AF9F6A0E040640A040252AD/logo/88229653-ff98-5880-9ff3-36a229c79e89.png","A5EB03E23BEAF6A0E040640A040252AD","00","ddabe33e-5fd8-43ff-b4bd-704453f510f9",\N,"6000","excell_unor/A5EB03E23AF9F6A0E040640A040252AD/20260215_144130_unor_Kementerian_Kesehatan.xlsx"
"A5EB03E23AFAF6A0E040640A040252AD",\N,"Kementerian Ketenagakerjaan","P","3013","0","3013","12019","2011-06-19 10:40:46","A","13013","Kementerian Ketenagakerjaan","Menteri Ketenagakerjaan","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.26",\N,"instansi/A5EB03E23AFAF6A0E040640A040252AD/logo/7caf6bd9-90a3-5deb-93b4-484e055d1e3b.png","A5EB03E23BE9F6A0E040640A040252AD","00","65c10563-48a9-4eab-b55a-11d7ab5f7985","T","6000",\N
"A5EB03E23AFBF6A0E040640A040252AD",\N,"Kementerian Lingkungan Hidup dan Kehutanan","P","3015","0","3015","12021","2011-06-19 10:40:46","A","13010","Kementerian Lingkungan Hidup dan Kehutanan","Menteri Lingkungan Hidup dan Kehutanan","KEMENT","1","2019-09-12 22:20:08",\N,"PPK","2.16.360.1.2.1.70.29",\N,\N,"fd0d3fe35d6c417dbf73b28733df3fde","00",\N,\N,"6000",\N
"A5EB03E23AFCF6A0E040640A040252AD",\N,"Kementerian Sekretariat Negara","P","4001","0","4001","12028","2011-06-19 10:40:46","A","12001","Kementerian Sekretariat Negara","Menteri Sekretaris Negara","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.7",\N,\N,\N,"00","ad654776-cbe9-452e-a39d-40dd745023f8",\N,"6000",\N
"A5EB03E23AFDF6A0E040640A040252AD",\N,"Badan Intelijen Negara","P","4003","0","4003","15003","2011-06-19 10:40:46","X","15008","Badan Intelijen Negara","Kepala Badan Intelijen Negara",\N,\N,\N,\N,\N,"2.16.360.1.2.1.70.50",\N,\N,\N,"00",\N,\N,"6000",\N
"A5EB03E23AFEF6A0E040640A040252AD",\N,"Mahkamah Agung RI","P","4007","0","4007","13001","2011-06-19 10:40:46","A","14004","Mahkamah Agung RI","Ketua Mahkamah Agung Republik Indonesia","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.5",\N,\N,\N,"00","a566247b-5a12-4df9-9d09-ae0315635bca","T","6000",\N
"A5EB03E23AFFF6A0E040640A040252AD",\N,"Badan Pemeriksa Keuangan","P","4008","0","4008","15013","2011-06-19 10:40:46","A","14005","Badan Pemeriksa Keuangan ","Sekretaris Jenderal Badan Pemeriksa Keuangan RI","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.4",\N,\N,\N,"00",\N,"T","6000",\N
"A5EB03E23B00F6A0E040640A040252AD",\N,"Badan Kepegawaian Negara","P","4011","0","4011","15001","2011-06-19 10:40:46","A","15002","Badan Kepegawaian Negara","Kepala Badan Kepegawaian Negara","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.88",\N,"instansi/A5EB03E23B00F6A0E040640A040252AD/logo/a6a6cd75-60a1-55e5-8491-e78bd3cd7369.png",\N,"00","853d30ad-dd89-4991-b88d-c18fc0d2dc2f","T","6000",\N
"A5EB03E23B01F6A0E040640A040252AD",\N,"Lembaga Penerbangan dan Antariksa Nasional","P","4013","0","4013","15026","2011-06-19 10:40:46","X","15103","Lembaga Penerbangan dan Antariksa Nasional","Kepala Lembaga Penerbangan dan Antariksa Nasional","LPNK",\N,\N,\N,\N,"2.16.360.1.2.1.70.82",\N,\N,\N,"00",\N,\N,"6000",\N
"A5EB03E23B02F6A0E040640A040252AD",\N,"Badan Tenaga Nuklir Nasional","P","4015","0","4015","15022","2011-06-19 10:40:46","X","15007","Badan Tenaga Nuklir Nasional ","Kepala Badan Tenaga Nuklir Nasional","LPNK","1","2019-09-20 23:18:27",\N,\N,"2.16.360.1.2.1.70.80",\N,\N,\N,"00",\N,\N,"6000",\N
"A5EB03E23B03F6A0E040640A040252AD",\N,"Kementerian Perencanaan Pembangunan Nasional/Bappenas","P","4017","0","4017","12029","2011-06-19 10:40:46","A","12008","Kementerian Perencanaan Pembangunan Nasional/Bappenas","Menteri PPN/Kepala BAPPENAS","KEMENT","1","2019-09-03 16:30:51",\N,"PPK","2.16.360.1.2.1.70.55",\N,\N,\N,"00","8d0d95ae-66d2-4d51-8f58-2a776414f1cc","T","6000",\N
"A5EB03E23B04F6A0E040640A040252AD",\N,"Badan Informasi Geospasial","P","4019","0","4019","15002","2011-06-19 10:40:46","A","15010","Badan Informasi Geospasial","Kepala Badan Informasi Geospasial","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.83",\N,\N,\N,"00",\N,"T","6000",\N
"A5EB03E23B05F6A0E040640A040252AD",\N,"Badan Pengkajian dan Penerapan Teknologi","P","4022","0","4022","15017","2011-06-19 10:40:46","X","15012","Badan Pengkajian dan Penerapan Teknologi","Kepala Badan Pengkajian dan Penerapan Teknologi","LPNK",\N,\N,\N,\N,"2.16.360.1.2.1.70.81",\N,\N,\N,"00",\N,\N,"6000",\N
"A5EB03E23B06F6A0E040640A040252AD",\N,"Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional","P","4024","0","4024","12030","2011-06-19 10:40:46","A","15014","Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional","Menteri Agraria dan Tata Ruang/Kepala Badan Pertahanan Nasional","KEMENT",\N,\N,\N,"PPK","2.16.360.1.2.1.70.56",\N,\N,"4891ac9bd44743d0a4585d3598b45b01","00","1a76027b-1d76-4b59-bbb7-8f7a8799ba77","T","6000",\N
"A5EB03E23B07F6A0E040640A040252AD",\N,"Badan Standardisasi Nasional","P","4027","0","4027","15021","2011-06-19 10:40:46","A","15005","Badan Standardisasi Nasional ","Kepala Badan Standardisasi Nasional","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.84",\N,\N,\N,"00",\N,"T","6000",\N
"A5EB03E23B08F6A0E040640A040252AD",\N,"Badan Pengawas Obat dan Makanan","P","4031","0","4031","15014","2011-06-19 10:40:46","A","15015","Badan Pengawas Obat dan Makanan ","Kepala Badan Pengawas Obat dan Makanan","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.63",\N,\N,\N,"00",\N,\N,"6000",\N
"A5EB03E23B09F6A0E040640A040252AD",\N,"Kepolisian Negara","P","4033","0","4033","13003","2011-06-19 10:40:46","A","16002","Kepolisian Negara","Kepala Kepolisian Negara Republik Indonesia","LPNK",\N,\N,\N,"PPK","2.16.360.1.2.1.70.60",\N,\N,\N,"00",\N,"T","6000",\N
