Id,lokasi_id,nama,jenis,nama_baru,nama_jabatan,jenis_instansi_id,kantor_regional_id,prov_id
014C560C79B72247E060640AF1082B75,,Sekretariat Jenderal Dewan Nasional Kawasan Ekonomi Khusus,P,Sekretariat Jenderal Dewan Nasional Kawasan Ekonomi Khusus,Sekretaris Jenderal Dewan Nasional Kawasan Ekonomi Khusus,LNS,0,6000
044d32a2f58049f0b84d9afb4c2ab398,,Kementerian Transmigrasi,P,Kementerian Transmigrasi,Menteri Transmigrasi,KEMENT,0,6000
063E7DF648C0B4B9E060640AF10839CE,,Badan Karantina Indonesia,P,,Kepala Badan Karantina Indonesia,LPNK,0,6000
0c1606502b9d4da9a0df26cc1d24900a,,"Kementerian Usaha Mikro, Kecil, dan Menengah",P,"Kementerian Usaha Mikro, Kecil, dan Menengah","Menteri Usaha Mikro, Kecil, dan Menengah",KEMENT,0,6000
0C37093AED94370CE050640A1502102F,,Kementerian Koordinator Bidang Kemaritiman dan Investasi,P,Kementerian Koordinator Bidang Kemaritiman dan Investasi,Menteri Koordinator Bidang Kemaritiman dan Investasi,KO,0,6000
0c771fccefd7493aa4f6ef70450f026e,,Kementerian Kehutanan,P,Kementerian Kehutanan,Menteri Kehutanan,KEMENT,0,6000
0C8286E5D5268A36E050640A150223A8,ff8080814b224047014b250287ff0ec0,Pemerintah Kab. Buton Selatan,D,Pemerintah Kab. Buton Selatan,Bupati Buton Selatan,KAB,4,7400
0E4FE60BDC1D9C73E050640A0202492C,0E4FE60BDC1C9C73E050640A0202492C,Pemerintah Kab. Buton Tengah,D,Pemerintah Kab. Buton Tengah,Bupati Buton Tengah,KAB,4,7400
1b9717bd344742358408349558447f5e,,Kementerian Koperasi,P,Kementerian Koperasi,Menteri Koperasi,KEMENT,0,6000
23B3C7AFE842586CE050640A150208C2,,Badan Ekonomi Kreatif,P,,Kepala Badan Ekonomi Kreatif,LPNK,0,6000
290fe639443d4f79a4b615dd332e8100,,Kementerian Ekonomi Kreatif/Badan Ekonomi Kreatif,P,Kementerian Ekonomi Kreatif/Badan Ekonomi Kreatif,Menteri Ekonomi Kreatif/Kepala Badan Ekonomi Kreatif,KEMENT,0,6000
30a3f5b5-1ad0-4985-a141-ea68f90fc882,,Badan Penyelenggara Jaminan Produk Halal,P,Badan Penyelenggara Jaminan Produk Halal,Kepala Badan Penyelenggara Jaminan Produk Halal,LPNK,0,6000
3f40424b93634708b44bfbbed9380744,,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",P,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi","Menteri Pendidikan Tinggi, Sains, dan Teknologi",KEMENT,0,6000
4099cc4f13cb46df9ee512b7938e235b,,Kementerian Koordinator Bidang Pemberdayaan Masyarakat,P,Kementerian Koordinator Bidang Pemberdayaan Masyarakat,Menteri Koordinator Bidang Pemberdayaan Masyarakat,KO,0,6000
40c164aac4df4504b37f3c51b91dbaf8,,Kementerian Kebudayaan,P,Kementerian Kebudayaan,Menteri Kebudayaan,KEMENT,0,6000
4891ac9bd44743d0a4585d3598b45b01,,Kementerian Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan,P,Kementerian Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan,Menteri Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan,KO,0,6000
6291CFA065278E99E050640A290279EA,,Lembaga Perlindungan Saksi dan Korban,P,Lembaga Perlindungan Saksi dan Korban,Kepala Lembaga Perlindungan Saksi dan Korban,LNS,0,6000
6a52007e-b46c-4a9a-a140-c53119e96aa6,,Badan Penyelenggara Haji,P,Badan Penyelenggara Haji,Kepala Badan Penyelenggara Haji,LPNK,0,6000
748FC9961C1A485EE050640A2A030F86,,Badan Pembinaan Ideologi Pancasila,P,Badan Pembinaan Ideologi Pancasila,Kepala Badan Pembinaan Ideologi Pancasila,LPNK,0,6000
8ae48288503bd9ee0150606afe0c766e,,Komisi Aparatur Sipil Negara,P,,Ketua Komisi Aparatur Sipil Negara,LNS,0,6000
8ae482893d68b543013d7c73e421677a,,Setjen Komisi Pengawas Persaingan Usaha,P,Setjen Komisi Pengawas Persaingan Usaha,Ketua Komisi Pengawas Persaingan Usaha,LNS,0,6000
8ae4828940ecc41d0140f19098654ee4,,Badan Pengawas Pemilihan Umum,P,Badan Pengawas Pemilihan Umum,Ketua Badan Pengawas Pemilihan Umum,LNS,0,6000
8ae482894305762301430a5c07e7709c,8ae482894305762301430a5a9c4c709a,Pemerintah Kab. Musi Rawas Utara,D,Pemerintah Kab. Musi Rawas Utara,Bupati Musi Rawas Utara,KAB,7,5600
8ae4828944dd62730144dd79597f077b,8ae4828944dd62730144dd765c9105c7,Pemerintah Kab. Konawe Kepulauan,D,Pemerintah Kab. Konawe Kepulauan,Bupati Konawe Kepulauan,KAB,4,7400
8ae482894bca19a4014bd87660831274,8ae482894bca19a4014bd861a2497f97,Pemerintah Kab. Muna Barat,D,Pemerintah Kab. Muna Barat,Bupati Muna Barat,KAB,4,7400
a51da632e235405da40cec0dbd61b75b,,Kementerian Pendidikan Dasar dan Menengah,P,Kementerian Pendidikan Dasar dan Menengah,Menteri Pendidikan Dasar dan Menengah,KEMENT,0,6000
A5EB03E23AF7F6A0E040640A040252AD,A5EB03E22075F6A0E040640A040252AD,Pemerintah Kab. Pesawaran,D,Pemerintah Kab. Pesawaran,Bupati Pesawaran,KAB,5,5900
A5EB03E23AF9F6A0E040640A040252AD,,Kementerian Kesehatan,P,Kementerian Kesehatan,Menteri Kesehatan,KEMENT,0,6000
A5EB03E23AFAF6A0E040640A040252AD,,Kementerian Ketenagakerjaan,P,Kementerian Ketenagakerjaan,Menteri Ketenagakerjaan,KEMENT,0,6000
A5EB03E23AFBF6A0E040640A040252AD,,Kementerian Lingkungan Hidup dan Kehutanan,P,Kementerian Lingkungan Hidup dan Kehutanan,Menteri Lingkungan Hidup dan Kehutanan,KEMENT,0,6000
A5EB03E23AFCF6A0E040640A040252AD,,Kementerian Sekretariat Negara,P,Kementerian Sekretariat Negara,Menteri Sekretaris Negara,KEMENT,0,6000
A5EB03E23AFDF6A0E040640A040252AD,,Badan Intelijen Negara,P,Badan Intelijen Negara,Kepala Badan Intelijen Negara,,0,6000
A5EB03E23AFEF6A0E040640A040252AD,,Mahkamah Agung RI,P,Mahkamah Agung RI,Ketua Mahkamah Agung Republik Indonesia,LPNK,0,6000
A5EB03E23AFFF6A0E040640A040252AD,,Badan Pemeriksa Keuangan,P,Badan Pemeriksa Keuangan ,Sekretaris Jenderal Badan Pemeriksa Keuangan RI,LPNK,0,6000
A5EB03E23B00F6A0E040640A040252AD,,Badan Kepegawaian Negara,P,Badan Kepegawaian Negara,Kepala Badan Kepegawaian Negara,LPNK,0,6000
A5EB03E23B01F6A0E040640A040252AD,,Lembaga Penerbangan dan Antariksa Nasional,P,Lembaga Penerbangan dan Antariksa Nasional,Kepala Lembaga Penerbangan dan Antariksa Nasional,LPNK,0,6000
A5EB03E23B02F6A0E040640A040252AD,,Badan Tenaga Nuklir Nasional,P,Badan Tenaga Nuklir Nasional ,Kepala Badan Tenaga Nuklir Nasional,LPNK,0,6000
A5EB03E23B03F6A0E040640A040252AD,,Kementerian Perencanaan Pembangunan Nasional/Bappenas,P,Kementerian Perencanaan Pembangunan Nasional/Bappenas,Menteri PPN/Kepala BAPPENAS,KEMENT,0,6000
A5EB03E23B04F6A0E040640A040252AD,,Badan Informasi Geospasial,P,Badan Informasi Geospasial,Kepala Badan Informasi Geospasial,LPNK,0,6000
A5EB03E23B05F6A0E040640A040252AD,,Badan Pengkajian dan Penerapan Teknologi,P,Badan Pengkajian dan Penerapan Teknologi,Kepala Badan Pengkajian dan Penerapan Teknologi,LPNK,0,6000
A5EB03E23B06F6A0E040640A040252AD,,Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,P,Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,Menteri Agraria dan Tata Ruang/Kepala Badan Pertahanan Nasional,KEMENT,0,6000
A5EB03E23B07F6A0E040640A040252AD,,Badan Standardisasi Nasional,P,Badan Standardisasi Nasional ,Kepala Badan Standardisasi Nasional,LPNK,0,6000
A5EB03E23B08F6A0E040640A040252AD,,Badan Pengawas Obat dan Makanan,P,Badan Pengawas Obat dan Makanan ,Kepala Badan Pengawas Obat dan Makanan,LPNK,0,6000
A5EB03E23B09F6A0E040640A040252AD,,Kepolisian Negara,P,Kepolisian Negara,Kepala Kepolisian Negara Republik Indonesia,LPNK,0,6000
A5EB03E23B0AF6A0E040640A040252AD,,"Badan Meteorologi, Klimatologi dan Geofisika",P,"Badan Meteorologi, Klimatologi dan Geofisika",Kepala Badan Meteorologi Klimatologi dan Geofisika,LPNK,0,6000
